title,summary,status,location_name,country,scale,solution_types,challenges_addressed,health_linkages_primary,impacts,governance,url_source,environmental_context
Botanical square Montessori,"The intervention to regenerate 5 squares in the city of Catania was funded by the EU. The project aimed to insert green areas and vegetation both inside and outside the historical buildings. The square was filled with Mediterranean plants and trees, creating a linkage of nature and architecture.",completed,Catania,Italy,city,"['green areas', 'street vegetation', 'urban forests']","['green space creation and/or management', 'health and well-being', 'economic development and employment']",['creation of opportunities for recreation'],[],"The intervention is implemented by the municipality of Catania, in partnership with Zeroarchitetti.",unknown,urban
Boulevards in the housing estate of Bacieczki,"The project, completed between 2014 and 2016, aimed to increase public access to the green recreational area in Białystok, Poland, and connect the Białka riverside with residential boroughs. It involved greenery planting, re-arrangement of the greenery, revitalization of a pond and water purification, and connecting walking and bicycle paths. The project also included the construction of a playground and an outdoor gym.",completed,Białystok,Poland,city,"['green recreational space', 'greenery planting', 'pond revitalization', 'water purification', 'connecting walking and bicycle paths']","['water management', 'green space creation and/or management', 'enabling opportunities for physical activity', 'creation of opportunities for recreation']",['gain in activities for recreation and exercise'],"['improved water quality', 'enhanced protection and restoration of freshwater ecosystems', 'increased green space area', 'restoration of derelict areas', 'increased perception of safety', 'improved access to urban green space', 'increased involvement of locals in the management of green spaces']",Co-governance with government and non-government actors. The local municipality was responsible for implementing the project.,unknown,urban
Bowling Park Community Orchard,"The project aims to grow fruit, develop wildlife habitats, and create a sociable urban green space in Bowling Park, Bradford. The orchard was developed on six disused allotment plots and includes over 40 trees of various fruit varieties. The project also focuses on biodiversity conservation and environmental education.",completed,"Bowling Park, Bradford",United Kingdom,neighborhood,"['urban forests', 'community gardens and allotments', 'biodiversity conservation']","['habitat and biodiversity conservation', 'green space creation and/or management', 'social cohesion', 'economic development: agriculture']",[],"['increased green space area', 'increased number of species present', 'enhanced support of pollination', 'generation of income from nbs', 'fair distribution of social, environmental and economic benefits of the nbs project', 'increased opportunities for social interaction', 'protection of historic and cultural landscape / infrastructure', 'increased support for education and scientific research', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits']",BEES Conservation volunteer group,unknown,urban
Brackwede derelict area,"The industrial plant in Brackwede was intentionally abandoned since 1973, and a natural green corridor was created with unique biotope areas that had developed over time from the abandoned bleaching ponds and meadows. The city of Bielefeld declined the project of construction of the shopping center at the place of the former industrial production and let it develop naturally.",completed,Brackwede,Germany,neighborhood,"['green corridors', 'biodiversity restoration', 'green space creation', 'conversion of former industrial areas']","['habitat and biodiversity restoration', 'green space creation and/or management', 'regeneration, land-use and urban development', 'conversion of former industrial areas']",['creation of opportunities for recreation'],"['improved water quality', 'enhanced protection and restoration of freshwater ecosystems', 'promotion of naturalistic styles of landscape design for urban development', 'increased green space area', 'increased conservation or restoration of ecosystems', 'increased conversion of degraded land or soil', 'restoration of derelict areas', 'gain in activities for recreation and exercise', 'increased appreciation for natural spaces']",Local government/municipality,unknown,urban
Bradford Beck project,"The Bradford Beck project is a pilot project aimed at managing and improving rivers, specifically the Bradford Beck, a small river system in the City of Bradford. The project focuses on long term restoration of the Beck, providing a new focus of water-based socio-economic regeneration in Bradford. The project includes monitoring of the Beck at 12 strategic points, and activities such as setting up nature trails, foot and cycle paths, and running educational activities.",ongoing,City of Bradford,United Kingdom,neighborhood,"['blue infrastructure', 'rivers/streams/canals/estuaries', 'in-land wetlands, peatlands, swamps, and moors', 'grey infrastructure featuring greens', 'riverbank/lakeside greens']","['environmental quality', 'waste management', 'green space, habitats and biodiversity', 'water management', 'improvements to water quality', 'creation of opportunities for recreation']",[],"['improved waste management', 'improved water quality', 'increased opportunities for social interaction', 'increased involvement of locals in the management of green spaces']","Led by the Aire Rivers Trust, with the support of the University of Sheffield. The project has brought together local people and key organisations, including the Environment Agency, Yorkshire Water, Bradford Council and Yorkshire Wildlife Trust.",unknown,urban
Bradford Urban Garden,"The Bradford Urban Garden was a temporary urban park created on a derelict site in Bradford city centre. The project, which ran from 2010 to 2014, transformed the area into a green space with several zones. The park was closed in 2014 due to the construction of a shopping mall.",completed,Bradford,United Kingdom,city,"['urban forests', 'pocket parks/neighbourhood green spaces', 'green space creation and/or management']","['green space', 'habitats and biodiversity', 'social justice, cohesion and equity', 'health and well-being']",['creation of opportunities for recreation'],"['increased green space area', 'restoration of derelict areas', 'improved access to urban green space', 'increased opportunities for social interaction', 'gain in activities for recreation and exercise']","The Bradford Urban Project was jointly funded by Bradford Council, Westfield (site developer) and regional development agency - Yorkshire Forward. Bradford’s arts development organisation, Fabric was involved in the designing work. For the shopping centre and the landscape designing the city council of Bradford invited Gillespies (lead designer), Arup, Sturgeon North Architects, Fountain Workshop to work on.",unknown,urban
Bremen buzzes - program for the protection of bees,"A city-wide initiative for the protection of bees developed by the BUND Bremen together with a number of local NGOs, local government and the citizens of Bremen. The project involved the planting of trees and wildflowers that will serve as a food for pollinators in different parts of the city as well as the provision of additional nesting places for the bees. It aims to protect the endangered bee species, increase biodiversity and beautify the city with the new plantings.",completed,Bremen,Germany,city,"['urban habitats', 'biodiversity conservation', 'green space creation']","['habitat and biodiversity loss', 'green space creation', 'inclusive governance']",[],"['increased green space area', 'increased conservation or restoration of ecosystems', 'reduced biodiversity loss', 'increased protection of threatened species', 'enhanced support of pollination', 'increased spread of native/heirloom/open-pollinated seed']","The project was developed by the BUND Bremen together with Umweltbetrieb Bremen (UBB) and is supported by a number of local NGOs, local government and the citizens of Bremen.",unknown,urban
Bridgefoot Street Park,"After years of campaigning by local residents in the Liberties area, local authorities approved the creation of a park at Bridgefoot Street. The park will include lawns, flowers, trees, furniture, lighting, allotments, a community garden, a terrace, play space and play equipment. The park aims to transform a derelict place and address the lack of green and recreational space in the area. The construction of the park began in 2020.",ongoing,"Bridgefoot Street, Liberties area",Ireland,neighborhood,"['large urban parks', 'community gardens', 'green areas for water management']","['green space', 'habitats and biodiversity', 'social justice, cohesion and equity', 'health and well-being']","['improving mental health', 'improving physical health', 'creation of opportunities for recreation']","['increased green space area', 'increased number of species present', 'restoration of derelict areas', 'improved social cohesion', 'improved access to urban green space', 'increased opportunities for social interaction', 'increased involvement of locals in the management of green spaces', 'improved mental health', 'gain in activities for recreation and exercise']","Co-governance with government and non-government actors. Local citizens campaigned in favour of the park, and in response Dublin City Council finally decided to implement the project. The Council and Dermot Foley Landscape Architects developed the park design, through consultation with the locals.",unknown,urban
Bring Nature Home,"The Bring Nature Home project, implemented under the New European Bauhaus programme by UrbanizeHub, aimed to transform an unused space in a residential area of Iasi into a green area. The project involved the local community and included educational workshops, creation of an urban garden, and development of a handbook for replication in other urban settings. The initiative also facilitated knowledge exchange among public institutions, NGOs, and private companies.",completed,Iași,Romania,city,"['community gardens and allotments', 'biophilic design', 'urban green space creation']","['rapid urbanization', 'unequal availability and access to public green spaces', 'disconnection from nature', 'loss of sense of place and identity', 'social fragmentation and isolation', 'poor community engagement']","['improved social cohesion', 'improved access to urban green space', 'increased opportunities for social interaction', 'gain in activities for recreation and exercise', 'improvement in people’s connection to nature', 'increased sense of place identity, memory and belonging', 'increased appreciation for natural spaces']","['lowered local temperature', 'increased green space area', 'enhanced support of pollination', 'generation of other type of work opportunities', 'improved social cohesion', 'improved access to urban green space', 'increased visibility and opportunity for marginalised groups or indigenous peoples', 'increased opportunities for social interaction', 'increased involvement of locals in the management of green spaces', 'gain in activities for recreation and exercise', 'improvement in people’s connection to nature', 'increased sense of place identity, memory and belonging', 'increased appreciation for natural spaces']",The NGO UrbanizeHub applied for and got granted funds from the New Bauhaus programme created by the EU organism EIT Urban Mobility and also got funding from the private company IULIUS. The NGO then carried out the project planning and implementation together with the local community. The municipality of Iasi provided expertise and approved the implementation plan.,unknown,urban
Brookley by the Bay,"Brookley by the Bay is a 98-acre new waterfront park project along Mobile Bay's western shore. The park aims to reconnect people with the Mobile waterfront and coastal ecosystem. It serves both recreational and environmental purposes, aiming to create and restore areas that enhance habitat resilience and allow coastal ecosystems to thrive. The project also focuses on habitat enhancement and restoration for biodiversity, as well as flood protection.",ongoing,Mobile Bay,United States,neighborhood,"['large urban parks or forests', 'green space creation and/or management', 'habitat and biodiversity restoration', 'flood protection']","['climate change adaptation', 'coastal resilience and marine protection', 'green space, habitats and biodiversity', 'water management', 'disconnection from nature']","['creation of opportunities for recreation', 'enabling opportunities for physical activity']","['increased protection against sea level rise', 'enhanced protection against extreme weather events', 'improved stormwater management', 'enhanced protection and restoration of coastal and marine ecosystems', 'increased green space area', 'increased conservation or restoration of ecosystems', 'reduced biodiversity loss']","The City of Mobile leads the project in partnership with the private sector (SCAPE architecture studio, Volkert, Moffatt & Nichol, Thompson Engineering) and with input from community members, local stakeholder organizations, and project partners.",unknown,coastal
Brunton Park Flood Alleviation Scheme,"The Brunton Park residential area in Newcastle had a history of flooding due to urban growth and developments in the Ouseburn catchment. The project, initiated by Northumbria Water, the Environmental Agency and the Newcastle City Council, aimed to reduce the potential for flooding and develop a sustainable, self-maintaining channel supporting environmental, social and economic purposes. The project included embankment building, diverting part of the Ouseburn river, installation of sewage storing tank, and creating new water-dependent habitat.",completed,"Brunton Park, Newcastle",United Kingdom,neighborhood,"['blue infrastructure', 'rivers/streams/canals/estuaries', 'in-land wetlands, peatlands, swamps, and moors', 'green areas for water management', 'sustainable urban drainage systems', 'grey infrastructure featuring greens', 'riverbank/lakeside greens']","['flooding', 'urban growth']",[],"['strengthened capacity to address climate hazards/natural disasters', 'increased protection against flooding', 'improved stormwater management', 'increased green space area', 'increased number of species present']",The Northumbrian Water Company and the Environment Agency began the joint flood reduction scheme in 2014. The partnership approach has also involved working closely with the Newcastle City Council. The actual implementation was carried out by the Northumbrian Water Company on behalf of the Environmental Agency.,unknown,urban
Bryggervej,"The Bryggervej project is a collaboration between the City of Aarhus and private property developer DOMIS Ejendomme, aiming to implement various sustainability principles. The project includes green and blue solutions such as green roofs, green facades, green open spaces, and water elements in park areas. The project's purpose is to create a dense urban settlement with energy-efficient and environmentally sustainable construction, as well as a socially sustainable district.",ongoing,Århus,Denmark,neighborhood,"['green roofs', 'green facades', 'green open spaces', 'blue elements/water in park areas']","['climate change adaptation', 'green space creation and/or management', 'regeneration, land-use and urban development', 'water management', 'social cohesion', 'social interaction']","['improved physical health', 'improved mental health']","['strengthened capacity to address climate hazards/natural disasters', 'improved air quality', 'reduced risk of damages by drought', 'promotion of naturalistic styles of landscape design for urban development', 'increased green space area', 'increased property prices', 'attraction of business and investment', 'improved physical health', 'improved mental health', 'gain in activities for recreation and exercise', 'improvement in people’s connection to nature']",Collaboration between the City of Aarhus and the private property developer DOMIS Ejendomme.,unknown,urban
Building Climate Change Resilience,"The project focuses on the development of an integrated adaptation plan for the area around the Savanxay Market and adjacent to the Mekong canal in Kaysone, Savannakhet, Laos. The plan includes nature-based solutions such as bioengineering, green cover, and the creation of a constructed wetland and park for recreation, flood retention, and storm water treatment. The project aims to reduce flooding, improve living standards, and enhance the beauty and amenity of the area.",planned,"Kaysone, Savannakhet",Laos,city,"['bioengineering', 'green cover', 'constructed wetland', 'park for recreation', 'flood retention', 'storm water treatment']","['flooding', 'climate change adaptation', 'water management', 'stormwater and rainfall management and storage', 'green space creation and/or management']",['improved living standards'],"['reduced flooding', 'improved living standards', 'enhanced beauty and amenity of the area']","The Kaysone adaptation plan has been developed by the Kaysone Phomvihane Climate Change Core Group, which was formally established as a permanent technical advisory group in town development by the Provincial and town government. Implementation, management, monitoring and maintenance of the adaptation strategy will be undertaken by local residents, members of the Core Group, the private sector and both technical and administrative government agency staff working at the district and province-level.",unknown,urban
Building Climate Change Resilience,"The project aims to build resilience for the town of Battambang, Cambodia, and prepare the residents for the inevitable climate change impacts in the future. Three infrastructure systems in Battambang were identified for detailed vulnerability assessments and adaptation planning. The project involves the creation of a green belt, natural stormwater and flood management, bio-retention and pollution treatment, and the development of the river embankment to be multipurpose.",in-progress,Battambang,Cambodia,city,"['green belt creation', 'natural stormwater and flood management', 'bio-retention and pollution treatment', 'multipurpose river embankment development']","['climate change adaptation', 'green space creation and/or management', 'water management', 'flood protection', 'stormwater and rainfall management and storage']",['creation of opportunities for recreation'],"['improved soil quality', 'improved water quality', 'increased protection against flooding', 'improved stormwater management', 'increased green space area', 'increased conversion of degraded land or soil', 'improved access to urban green space', 'gain in activities for recreation and exercise', 'improved community safety to climate-related hazards']","The project is led by the Asian Development Bank, the Battambang Core Group, which includes the Provincial Governor, line department and senior town officials.",unknown,urban
Enhancing climate resilience of Gorakhpur by buffering floods through climate-resilient peri-urban agriculture,"The project aimed to enhance climate resilience in Gorakhpur, India by promoting peri-urban agriculture as a means to buffer floods. It involved activities such as baseline surveys, field interventions, and the adaptation of practices. The project also improved soil and water quality and developed waste management measures.",completed,Gorakhpur,India,city,"['peri-urban agriculture', 'climate-resilient practices', 'waste management']","['climate change', 'flooding', 'soil quality', 'water quality']",[],"['improved soil and water quality', 'increased protection against flooding', 'increased conservation or restoration of ecosystems', 'improved social cohesion', 'increased involvement of locals in the management of green spaces', 'increased access to healthy/affordable food', 'increased sustainability of agriculture practices']","The project was led by the Gorakhpur Environmental Action Group (GEAG), funded by The Rockefeller Foundation, and involved multiple stakeholders from local government, research centers, civil society, private sector, and community representatives.",unknown,agricultural
Building Coastal City Resilience in Pekalongan,"The project aims to build resilience to climate change impacts and natural disasters in Pekalongan City, Central Java Province, Indonesia. The project involves capacity building, mangrove ecosystem restoration, coastal protection enhancement, and implementation of climate-smart actions. The project employs a collaborative and participatory approach that is locally driven and involves those most at risk.",ongoing,"Pekalongan City, Central Java Province",Indonesia,neighborhood,"['mangrove ecosystem restoration', 'coastal protection', 'climate-smart actions']","['climate change impacts', 'natural disasters', 'flooding', 'landslides']",[],"['increased protection against flooding', 'improved water quality', 'increased green space area', 'reduced biodiversity loss', 'increase of green jobs', 'generation of income from nbs', 'fair distribution of social, environmental and economic benefits of the nbs project', 'increased involvement of locals in the management of green spaces', 'increased awareness of nbs and their benefits']","Kemitraan (The Partnership for Governance Reform), an independent legal entity established as a not-for-profit civil law association under Indonesian law",unknown,coastal
Building coastal resilience for Muanda’s communities,"The project aims to address coastal erosion in the Democratic Republic of Congo’s coastal zone, particularly in the towns of Muanda, Banana and Nsiamfumu. The intervention includes the development of an Early Warning System (EWS) of coastal risk, implementation of both 'soft' and 'hard' adaptation measures, and promotion of environmental sustainability and gender equality. The project is implemented by the Department of Environment, Nature Conservation and Tourism, Democratic Republic of Congo in partnership with the United Nations Development Programme (UNDP) and the Global Environment Facility (GEF).",ongoing,Muanda,Democratic Republic of Congo,regional,"['coastal landscape management or protection', 'knowledge creation and awareness raising', 'coastal and freshwater ecosystems protection', 'wetlands and/or coastal ecosystems restoration', 'green urban nature for carbon storage', 'carbon sequestration through selection of more adaptable species', 'biodiversity restoration']","['coastal erosion', 'climate change', 'lack of technical knowledge', 'lack of information', 'climate risks']",[],"['strengthened capacity to address climate hazards/natural disasters', 'enhanced carbon sequestration', 'improved soil quality', 'increased protection against flooding', 'increased green space area', 'reduced biodiversity loss', 'stimulate development in deprived areas', 'increased visibility and opportunity for marginalised groups or indigenous peoples', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits', 'improved community safety to climate-related hazards']","The Department of Environment, Nature Conservation and Tourism, Democratic Republic of Congo is the leading institution with funding from the United Nations Development Programme (UNDP) and the Global Environment Facility (GEF). At a local level, some volunteering organisations are involved as well.",unknown,coastal
Building community-driven vertical gardens,"This project was initiated in 2014 in Agege, Nigeria, to alleviate local temperatures and enhance biodiversity through the implementation of vertical gardens in residential areas. The gardens were maintained by the local community and aimed to bring thermal comfort and economic benefits to low-income residents, reduce indoor temperatures, and fight humidity. The project also aimed to increase ownership participation and reduce urban heat island effects.",completed,Agege,Nigeria,city,"['vertical gardens', 'green walls', 'biodiversity enhancement']","['climate change adaptation', 'biodiversity conservation', 'social justice and equity', 'economic development and employment', 'sustainable consumption and production']","['thermal comfort', 'reduced indoor temperatures']","['lowered local temperature', 'promotion of naturalistic styles of landscape design for urban development', 'increased conservation or restoration of ecosystems', 'increased number of species present', 'increase of green jobs', 'generation of income from nbs', 'fair distribution of social, environmental and economic benefits of the nbs project', 'increased visibility and opportunity for marginalised groups or indigenous peoples', 'increased involvement of locals in the management of green spaces', 'increased access to healthy/affordable food', 'increased sustainability of agriculture practices']",The intervention was designed as a study and initiated by a team of researchers at the University of Cardiff. The evaluation of the proposal was done together with the residents who also took lead in implementing the green walls.,unknown,urban
Building the town of NyE,"An integrated solution for groundwater, rainwater, waste water, streams and ponds creates attractive housing in a new suburb (NyE), with room for exciting architecture. The project aims to prevent flooding caused by climate change, avoid polluting our groundwater, and improve the environment in streams and ponds. A long-term goal is the development of a climate park that can be created in the form of a nature reservation with marshy areas, trees and bushes, in the undeveloped area west of Nye.",ongoing,Århus,Denmark,neighborhood,"['groundwater management', 'rainwater management', 'waste water management', 'streams and ponds management', 'climate park development']","['flooding', 'groundwater pollution', 'environmental improvement in streams and ponds']",['recreational value'],"['prevention of flooding', 'avoidance of groundwater pollution', 'improvement of environment in streams and ponds']",Co-governance with government and non-government actors. Property developer Tækker Group joined forces with the City Council and Aarhus Vand (Aarhus Water) to put together an integrated solution for water in the town.,unknown,urban
Building With Nature: Mangrove Rehabilitation,"The project aims to rehabilitate mangroves in Suriname's coastal region, which is highly vulnerable to climate-induced sea-level rise. Wooden, water penetrable dams are being built to trap sediment and replant mangroves. The project also includes capacity building and public awareness activities, and scientific research to inform future nature-based adaptation initiatives.",ongoing,Paramaribo,Suriname,neighborhood,"['mangrove rehabilitation', 'sediment trapping units', 'capacity building and public awareness']","['sea-level rise', 'flooding', 'land degradation', 'erosion']",[],"['increased protection against sea level rise', 'strengthened capacity to address climate hazards/natural disasters', 'enhanced carbon sequestration', 'improved soil quality', 'increased protection against flooding', 'enhanced protection and restoration of coastal and marine ecosystems', 'increased conservation or restoration of ecosystems', 'reduced biodiversity loss', 'increased number of species present', 'increase in agricultural production', 'increased access to healthy/affordable food', 'increased sustainability of agriculture practices', 'protection of historic and cultural landscape / infrastructure', 'increased support for education and scientific research', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits', 'improved community safety to climate-related hazards']","The project was initiated by Professor Naipal of the Anton de Kom University of Suriname and has gained support from Conservation International Suriname, local donors, and the Dutch Embassy and Staatsolie Foundation.",unknown,coastal
Buku Jalanan Chow Kit Urban Farm,"Buku Jalanan Chow Kit, an NGO in Kuala Lumpur, initiated a project to address the increasing pressure on urban green spaces. The project involves creating a rooftop urban farm, biodiversity garden, and playground on an existing building. The space will serve as a habitat for urban wildlife, a place for food production, and recreation. The project also aims to provide a community capacity-building space to engage and host activities to empower the Chow Kit community.",ongoing,"Chow Kit, Kuala Lumpur",Malaysia,city,"['urban farming', 'biodiversity garden', 'community gardens and allotments', 'green roofs']","['loss of biodiversity', 'lack of green space', 'urban heat effects', 'air pollution']",[],"['increased green space area', 'reduced biodiversity loss', 'increase in agricultural production', 'increased involvement of locals in the management of green spaces', 'increased knowledge of locals about local nature']","The project is led by Buku Jalanan Chow Kit (BJCK), a non-profit organization. The NGO received funding from the UN's GEF Small Grants Programme and support from Eats, Shoots and Roots (ESR), PopTani, and the Urban Biodiversity Initiative (UBI). The local community volunteers in the educational activities.",unknown,urban
Bundek Lake Cleaning and Renovation,"The project aimed to convert Bundek Lake into a recreational area by cleaning the area, creating access for disabled persons, installing recreational facilities, and building playgrounds. The lake and its surroundings, which had become a waste disposal site, were cleaned and renovated. The project also involved the construction of lake accesses, children's playgrounds, a wooden pedestrian bridge, and other facilities.",completed,Bundek Park,Croatia,neighborhood,"['parks and urban forests', 'blue infrastructure', 'regeneration, land-use and urban development', 'inclusive and effective governance', 'health and well-being', 'economic development and employment']","['water management', 'flood protection', 'improvements to water quality', 'habitat and biodiversity restoration', 'green space creation and/or management', 'air quality improvement', 'waste management', 'promote natural styles of landscape design for urban development']","['enabling opportunities for physical activity', 'improving mental health', 'creation of opportunities for recreation']","['lowered local temperature', 'improved air quality', 'improved waste management', 'improved soil quality', 'improved water quality', 'increased protection against flooding', 'increased green space area', 'more sustainable tourism', 'improved liveability', 'improved access to urban green space', 'increased visibility and opportunity for marginalised groups or indigenous peoples', 'increased opportunities for social interaction', 'improved physical health', 'improved mental health', 'gain in activities for recreation and exercise', 'improvement in people’s connection to nature', 'increased awareness of flora and fauna as culturally and historically meaningful', 'increased appreciation for natural spaces', 'increased support for education and scientific research', 'increased knowledge of locals about local nature']","The initiative was taken by the local municipality. Participatory approaches/ community involvement included Co-planning, Dissemination of information and education, and Consultation.",unknown,urban
Butterfly booths in the city,"The project involved building 100 butterfly booths in different locations of Bremen, Germany. It was developed by BUND Bremen in cooperation with the Botanical Garden, Stadtgrün Bremen and implemented jointly with the citizens. The project also included plantings of flowers and educational activities. The main goals were to increase biodiversity, protect endangered butterfly species, and provide care instructions for butterflies to the residents.",completed,Bremen,Germany,city,"['urban habitats', 'flower plantings', 'educational activities']","['biodiversity conservation', 'endangered species protection']",[],"['increased green space area', 'increased conservation or restoration of ecosystems', 'reduced biodiversity loss', 'improved access to urban green space', 'increased involvement of locals in the management of green spaces', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits']",The project was developed by the BUND Bremen in cooperation with the Botanical Garden and Stadtgrün Bremen. It is implemented with the help of the citizens.,unknown,urban
Butterfly corridor,"This project aims to create a Butterfly corridor through the city of New Delhi by connecting local parks, residential gardens, biodiversity parks, and major forest areas. Various locations, mainly maintained by citizens, are developed as habitats for the butterflies by planting various kinds of host plants. The project is initiated by the Conservation Education Centre (CEC), a Delhi-based faction of the Bombay Natural History Society.",ongoing,New Delhi,India,city,"['community gardens', 'green corridors']","['habitat and biodiversity conservation', 'green space creation and/or management', 'creation of opportunities for recreation', 'effective management', 'social interaction', 'environmental education']",[],"['increased conservation or restoration of ecosystems', 'increased ecological connectivity across regeneration sites and scales', 'increased number of species present', 'increased protection of threatened species', 'enhanced support of pollination', 'increased opportunities for social interaction', 'increased involvement of locals in the management of green spaces', 'increased support for education and scientific research', 'increased knowledge of locals about local nature']","The project is led by the Conservation Education Centre (CEC), a Delhi-based faction of the Bombay Natural History Society, in association with schools, colleges, residents and community groups etc., who maintain these butterfly corridors.",unknown,urban
Cacao farm at the Foyer de l'Espérance,"This project involves collaboration among government, private, and educational entities focused on developing an agroforestry initiative in Fort-de-France. The objective is to plant 1,500 cacao trees on the Foyer's premises by 2025. These trees will serve as pedagogical support for teachers and children. The first cacao pods are expected to mature in 2-3 years and will be processed and transformed by the Martinican Lauzéa chocolate factory.",ongoing,Fort-de-France,Martinique,neighborhood,"['agroforestry', 'community gardens and allotments', 'urban forests']","['environmental degradation', 'deforestation and forest degradation', 'limited economic opportunities and local livelihoods', 'loss of sense of place and identity']",[],"['increased number of species present', 'increase of green jobs', 'generation of income from nbs', 'increased involvement of locals in the management of green spaces', 'increased support for education and scientific research']","The project was initiated by the Espérance Martinique and the Frères Lauzéa, private company. The project then entered into a convention with Entreprises & Environment, a business network who helps with funding and plant-nurseries. The Club Med Foundation provided at least ⅔ of the tree donations. The tree planting was implemented by the schoolchildren and paid trainees. The Lauzea company will take-over processing. L’Espérance via its affiliation with the Fondation Apprentis d’Auteuil, a catholic foundation aiming to integrate the most vulnerable youth received the financial support of the DEETS (Martinican Department of Employment and Work) for the labour market integration dimension.",unknown,urban
Cache la Poudre River Restoration,"The City of Fort Collins is restoring the Cache la Poudre River, which was heavily manipulated for irrigation and mining in the early 20th century. The project involves extensive planning, land acquisition, stormwater control, water quality management, and implementation of nature-based solutions. Two key initiatives are the Sterling Pond Ecological Restoration and the McMurry Natural Area Ecological Restoration.",completed,Fort Collins,United States,city,"['river restoration', 'stormwater control', 'water quality management', 'ecological restoration']","['climate change adaptation', 'habitat and biodiversity restoration', 'flood protection', 'improvements to water quality']","['improving physical health', 'creation of opportunities for recreation']","['improved water quality', 'increased protection against flooding', 'improved stormwater management', 'reduced risk of damages by drought', 'enhanced protection and restoration of freshwater ecosystems', 'increased conservation or restoration of ecosystems', 'increased ecological connectivity', 'increased conversion of degraded land or soil', 'reduced biodiversity loss', 'increased number of species present', 'restoration of derelict areas', 'gain in activities for recreation and exercise', 'increased knowledge of locals about local nature', 'improved community safety to climate-related hazards']","The City of Fort Collins Natural Areas Department led the restoration efforts in combination with the Colorado Rivers Trust, a non-profit streamflow restoration organisation. Biohabitats and their subcontractor, Budhoe Backhoe, were involved in the implementation activities.",unknown,urban
Campus of the University of Bialystok,"The University of Białystok opened a new modern ecological campus for the faculties of biology, mathematics and computer science. The campus incorporates green and blue infrastructure elements, with green vegetation covering the university's walls and roofs. There is a brook around buildings and small ponds in the university's inner courtyards. The campus uses a sustainable rain drainage system, which is located on the roof, and the rainwater flows to the artificial water tanks and is continuously filtered and redistributed.",completed,Białystok,Poland,neighborhood,"['green roofs', 'green walls or facades', 'sustainable urban drainage systems', 'blue infrastructure']","['water management', 'stormwater and rainfall management and storage', 'improvements to water quality', 'green space creation and/or management', 'regeneration, land-use and urban development', 'environmental education']",['creation of opportunities for recreation'],"['water management and blue areas', 'improved water quality', 'increased protection against flooding', 'improved stormwater management', 'promotion of naturalistic styles of landscape design for urban development', 'increased green space area', 'increased number of species present', 'gain in activities for recreation and exercise', 'improvement in people’s connection to nature', 'increased awareness of nbs and their benefits']",The University of Białystok applied for EU and local funds for the construction of its new campus. The contractor was Mostostal construction company from Warsaw.,unknown,urban
Canal restoration in Cagliari,"The Cagliari Canal project is an initiative aimed at revitalizing and transforming the urban and natural landscape of the Cagliari Metropolitan Area in Sardinia. The project seeks to restore and enhance the navigability of the Terramaini-La Palma canal, which had become disused and neglected over time. It aims to provide alternative, sustainable mobility options, improve connectivity between municipalities, and enhance the natural and urban environments. The project was partly developed in response to the increasing environmental challenges faced by Cagliari, including the need to adapt to climate change.",ongoing,Cagliari Metropolitan Area,Italy,city,"['canal restoration', 'green and blue infrastructure', 'sustainable mobility', 'community involvement']","['climate change adaptation', 'flooding', 'heat waves', 'urban heat island effects']",['improved air quality'],"['increased protection against flooding', 'increased green space area', 'increased ecological connectivity across regeneration sites and scales', 'improved social cohesion', 'increased opportunities for social interaction', 'increased involvement of locals in the management of green spaces']","The Metropolitan Authority of Cagliari, in collaboration with local stakeholders",unknown,urban
Cape Town Environmental Education Trust,"The Cape Town Environmental Education Trust (CTEET) is a non-profit organization that aims to improve the inclusiveness of urban nature reserves and the effectiveness of biodiversity conservation by connecting disadvantaged and racialized communities with municipally-owned nature reserves. CTEET's flagship projects include providing low-cost environmental education programs to children, offering training and development to Cape Town youth for jobs in the Green Economy, and supporting and driving conservation initiatives in Cape Town through its Nature Care Fund.",ongoing,Cape Town,South Africa,city,"['parks and urban forests', 'environmental education', 'biodiversity conservation']","['green space, habitats and biodiversity', 'social justice, cohesion and equity', 'environmental and climate justice', 'economic development and employment']",[],"['improved waste management', 'increased conservation or restoration of ecosystems', 'increased protection of threatened species', 'increased spread of native/heirloom/open-pollinated seed', 'increase of green jobs', 'stimulate development in deprived areas', 'increased visibility and opportunity for marginalised groups or indigenous peoples', 'increased involvement of locals in the management of green spaces', 'increased support for education and scientific research', 'increased knowledge of locals about local nature']",Co-governance with government and non-government actors. Cape Town Environmental Education Trust (CTEET) collaborates with the City of Cape Town to realize its flagship projects.,unknown,urban
