title,summary,status,location_name,country,scale,solution_types,challenges_addressed,health_linkages_primary,impacts,governance,url_source,environmental_context,processed_date
"Programme “Baumstarke Stadt” - Leipzig, Germany","Launched in 1996, the project aims to generate financial resources for tree planting and establish a long-term engagement of citizens with the urban green areas. The location for the plantations is determined by the Office for City Greenery and Water, which is also responsible for the implementation of the planting. The project provides multiple ecosystem services, including regulating, supporting and cultural functions.",ongoing,Leipzig,Germany,city,"['urban forestry', 'tree planting', 'ecosystem services education']","['heat', 'air pollution', 'noise']",['improved air quality'],[],"The City of Leipzig, Office for urban greenery and waters; Department for Environmental Protection of the City of Leipzig; Urban planning office of the City of Leipzig; Department of roads and civil engineering of the City of Leipzig",https://oppla.eu/clearing-house/case-study/programme-baumstarke-stadt-leipzig-germany,urban,2025-09-14 11:24:10
"Vanhankaupunginlahti, Old Town Bay - Finland","The Old Town Bay (OTB) is a nature reserve located in the middle of the capital of Finland, Helsinki. It covers an area of 338 hectares, with a diversity of flora and fauna. The project aims to improve the wetland and forest coverage and urban greenspace connectivity, securing important biodiversity and providing recreation and educational facilities for local residents and visitors. A nature trail, 'The Lap of nature', was built to provide well-being benefits and is accessible for all, including the disabled and elderly.",ongoing,"Vanhankaupunginlahti, Old Town Bay",Finland,city,"['urban greenspace connectivity', 'wetland and forest coverage', 'recreation and educational facilities']","['biodiversity conservation', 'accessibility', 'recreation and education']",['well-being benefits'],"['increased visitor numbers', 'improved citizens’ environmental awareness', 'provision of important well-being and health benefits for a larger number of residents']","The City of Helsinki and Government, Associations, Citizens, Municipalities, Public/private institutions, Park planner and authorities, Technicians for park maintenance/monitoring and to educate and support citizens",https://oppla.eu/clearing-house/case-study/vanhankaupunginlahti-old-town-bay-finland,urban,2025-09-14 11:24:10
"Landscape Park Tivoli, Rožnik and Šiška hill – Ljubljana, Slovenia","The Landscape park Tivoli, Rožnik and Šiška hill is a nature protected area located in the city centre of Ljubljana, Slovenia. It comprises a mosaic of different landcover types, including forest, public urban park, agricultural land and wetlands. The park aims to enhance health and well-being of citizens and visitors while conserving natural values and landscape diversity, and regulating the urban micro-climate.",unknown,City of Ljubljana,Slovenia,city,"['urban green infrastructure', 'urban forests']","['urban micro-climate regulation', 'conservation of natural values and landscape diversity']",['enhanced health and well-being'],"['improved air quality', 'reduced run-off']","Municipality of Ljubljana, Ministry for the Environment and Spatial Planning",https://oppla.eu/clearing-house/case-study/landscape-park-tivoli-roznik-and-siska-hill-ljubljana-slovenia,urban,2025-09-14 11:24:10
"Serra de Collserola Natural Park – Barcelona, Spain","Serra de Collserola Natural Park is located in the north-western part of Barcelona and covers an area of 8170 ha. The park aims to regulate urban microclimate, enhance biodiversity and offer opportunities for education, recreation and leisure. Actions include restoration of forest fringe areas, river and riparian forests restoration, control and eradication of invasive trees, and preservation of agricultural belts at the peri-urban fringe.",ongoing,Serra de Collserola Natural Park,Spain,city,"['forest restoration', 'river and riparian forests restoration', 'invasive species control', 'agricultural belts preservation']","['urban microclimate regulation', 'biodiversity enhancement', 'education and recreation opportunities']",['well-being'],"['reducing temperature at meso or micro scale', 'carbon sequestration and storage', 'greater ecological connectivity across urban regenerated sites', 'increase biodiversity', 'increased cultural richness and biodiversity', 'increase well-being']",Metropolitan Area of Barcelona; Diputació Barcelona; Generalitat de Catalunya,https://oppla.eu/clearing-house/case-study/serra-de-collserola-natural-park-barcelona-spain,urban,2025-09-14 11:24:10
"Enhancement of Cultural Ecosystem Services in the Park Forest Grmoščica - Zagreb, Croatia","The project aims to enhance the management and utilisation of Urban Forests as Natural Heritage in Danube Cities. It involves the construction of new infrastructure and facilities, implementation of a participatory approach, and educational activities. The project also addresses issues such as lack of recreational infrastructure and landslides due to past clay excavations.",unknown,Park Forest Grmoščica,Croatia,city,"['urban forests', 'participatory approach', 'educational activities']","['lack of recreational infrastructure', 'landslides']",['human health and wellbeing'],"['increased quality and quantity of green and blue infrastructures', 'enhanced sustainable urbanisation', 'increased awareness of nbs solution & their effectiveness and co benefits', 'increased stakeholder awareness & knowledge about nbs', 'increased well-being']","City of Zagreb, City Office for Agriculture and Forestry; Croatian Forests Ltd., Forest Administration Zagreb, Unit Hortikultura",https://oppla.eu/clearing-house/case-study/enhancement-cultural-ecosystem-services-park-forest-grmoscica-zagreb-croatia,urban,2025-09-14 11:24:10
Beijing Plain Area Afforestation Programme (BPAP),"The Beijing Plain Area Afforestation Programme (BPAP) was launched in 2012 to mitigate environmental pressures and improve urban resilience in Beijing, China. The project aimed to create large forest patches, develop urban forest park clusters, and optimise large-scale forest patterns. It involved planting 66,674 hectares of new trees by converting vacant lots, croplands, sand excavation pits, and wastelands to forests, parks, and wetlands from 2012 to 2015.",completed,Beijing,China,city,"['afforestation', 'urban forestry', 'forest plantations', 'parks', 'green corridors']","['air pollution', 'urban heat island effect', 'lack of urban greenspace']","['improved air quality', 'increased physical activity', 'improved wellbeing']","['increased forest coverage from 14.8% (2011) to 25% (2015)', 'more than 70,000 hectares of forest planted', 'survival rate of planted trees exceeded 95%']","Beijing City - Capital Greening Office, Beijing Gardening and Greening Bureau, Beijing Municipal Commission of Planning and Natural Resources, and other associations, citizens, municipalities, and public/private institutions",https://oppla.eu/clearing-house/case-study/beijing-plain-area-afforestation-programme-bpap-beijing-china,urban,2025-09-14 11:24:10
"Green Lungs of The City - Forest and Wetlands Park, Yiwu - Zhejiang Province, China","The Green Lungs of the City project (GLCP) was launched in 2019 to build a forest-wetland ecological park in the city central area of Yiwu, China. The project aims to create more green space for residents, mitigate environmental pressures, and improve city resilience. The project involves reforestation and afforestation, restoration of wastelands and wetlands, and improvement of urban forest and wetlands landscape connectivity.",ongoing,"Yiwu, Zhejiang Province",China,city,"['urban forest', 'wetlands', 'reforestation and afforestation', 'restoration of wastelands and wetlands', 'urban forest and wetlands landscape connectivity']","['rapid urbanisation', 'lack of green space', 'environmental pressures']",['improved wellbeing'],"['increased urban green and blue spaces', 'improved citizens’ participation in environmental protection']","Municipal Government in Yiwu, Yiwu Natural Resources and Planning Bureau, Yiwu City Investment and Construction Group Co., Ltd, Beijing Beilin Landscape Architecture Institute Co. Ltd.",https://oppla.eu/clearing-house/case-study/green-lungs-city-forest-and-wetlands-park-yiwu-zhejiang-province-china,urban,2025-09-14 11:24:10
"Green Wedges - Jiaxing, Zhejiang Province, China","The Urban Green Space System Planning of Jiaxing (2006-2020) planned three green wedges around the City based on existing ecological resources. These are South Green Wedge, East Green Wedge and Northwest Green Wedge. They aim to regulate urban climate and provide more recreation space. The green wedges are mainly constituted of wetland and forests and have a tight connection with the inner city through rivers.",unknown,"Jiaxing, Zhejiang Province",China,city,"['urban green space', 'wetland restoration', 'urban park construction']","['urban heat', 'air pollution', 'noise']","['reducing temperature', 'increased accessibility to green open spaces', 'increased amount of green open spaces for residents', 'increased communities’ sense of ownership', 'increased well-being']","['reducing temperature at meso or micro scale', 'increase accessibility to green open spaces', 'increase amount of green open spaces for residents', 'increase communities’ sense of ownership', 'increase well-being']","Jiaxing Municipal People’s Government, Jiaxing Society of Forestry, Jiaxing Society of Plant Protection, Jiaxing Society of Landscape, Jiaxing Institute of Environmental Sciences co. LTD, Jiaxing Planning & Design Research Institute co. LTD, Jiaxing Landscape Design Institute, Housing and Urban-Rural Development Bureau",https://oppla.eu/clearing-house/case-study/green-wedges-jiaxing-zhejiang-province-china,urban,2025-09-14 11:24:10
"Meishan Dongpo Urban Wetland Park - Sichuan Province, China","Meishan Dongpo Urban Wetland Park is a project aimed at preserving the original wetland environment while providing multifunctional green spaces for urban residents. The project includes wetland conservation, science and cultural education, and rest and recreation. The park is divided into one axis, two belts, and five zones. The project also includes the construction of new green spaces.",in-progress,"Dongpo Island, Meishan City",China,city,"['urban wetlands', 'green spaces', 'wetland conservation']","['urbanization', 'water quality', 'biodiversity']",['enhanced well-being'],"['improved water quality', 'increased biodiversity', 'enhanced well-being of urban citizens']","Meishan Government, Dongpo District Government, The University of Tongji, Meishan Development Holding Co., Ltd.",https://oppla.eu/clearing-house/case-study/meishan-dongpo-urban-wetland-park-sichuan-province-china,urban,2025-09-14 11:24:10
"Fu Forest Trail - Fuzhou, China","The Fu Forest Trail is a mountain forest trail project built by the Fuzhou Government since 2016. The trail promotes policies related to urban mountains protection and urban green restoration. The project aims to manage conflicts between rapid urban development and the conservation of the urban landscape and green open space protection. The trail provides recreational spaces, improves urban forest landscape connectivity, and offers educational facilities for local residents and visitors.",unknown,Fuzhou,China,city,"['urban mountains protection', 'urban green restoration', 'recreational spaces', 'urban forest landscape connectivity', 'educational facilities']","['urban development', 'conservation of urban landscape', 'green open space protection']",['wellbeing benefits'],"['promote urban mountains protection and urban green restoration', 'providing better conditions for forest naturalisation', 'fostering health and wellbeing benefits', 'providing educational facilities']","Fuzhou Greening Office, Fuzhou Gardening and Greening Bureau, Metropolitan City of Fuzhou, Sciences and technology associations, cultural and sports, non-government actors, Park wardens, citizens for maintain and cleaning gardens, Municipalities of Gulou Districts, Public institutions, Office of Planning and Development, Office of Voluntary Tree Planting, Municipalities of local districts, Research institutes or universities, Park planner and authorities, Technicians for park maintenance/monitoring and to educate and support citizens, Office of Park Management, Environmental Education Department",https://oppla.eu/clearing-house/case-study/fu-forest-trail-fuzhou-china,urban,2025-09-14 11:24:10
"Water Haigh Woodland Park, Lower River Aire Valley – Leeds, UK","Following many years of coal mining along the valley of the River Aire, large-scale landscape restoration began in the mid 1970’s. The project involves the creation of a multi-functional, landscape scale habitat including new Urban Forests as Nature-Based Solutions (UF-NbS) and extensively restored wetland habitats. The project aims to provide full public access and opportunities for improved health and wellbeing.",unknown,"Water Haigh Woodland Park, Lower River Aire Valley",UK,regional,"['urban forests as nature-based solutions', 'wetland habitats restoration', 'public access', 'health and wellbeing']","['landscape restoration', 'public access', 'health and wellbeing']",['improved health and wellbeing'],"['creation of a multi-functional, landscape scale habitat', 'provision of public access', 'improved health and wellbeing']",Leeds City Council,https://oppla.eu/clearing-house/case-study/water-haigh-woodland-park-lower-river-aire-valley-leeds-uk,urban,2025-09-14 11:24:10
Landscape Park Duisburg Nord - Germany,"The Landscape Park Duisburg-North is part of the larger Emscher Landscape Park, linking urban landscapes and parks through green corridors, cycle paths and the Emscher river. The park is located in the formerly industrial Ruhr region of Germany and is centred around an old iron works. The park aims to provide recreation and educational facilities, encourage tourism, focus on water protection, regulate micro and regional climate, and enhance ecological preservation.",unknown,Ruhr Area/ North Rhine-Westphalia,Germany,regional,"['urban forests', 'green corridors', 'water protection', 'micro-climate regulation']","['urban regeneration', 'ecosystem restoration', 'sustainable urbanization']",['good health and well being'],"['reducing temperature at meso or micro scale', 'greater ecological connectivity across urban regenerated sites', 'increase quality and quantity of green and blue infrastructures', 'increase accessibility to green open spaces', 'increase social interaction', 'increase well-being']","The construction of the Landscape Park Duisburg North was financed by Duisburg City, Federal state of North Rhine-Westphalia (NRW), Landesentwicklungsgesellschaft NRW GmbH (NRW-Urban) and the European Union. The financial participation for maintenance of the park comes from: NRW state, Regionalverband Ruhr, City of Duisburg, Operation of Landscape Park.",https://oppla.eu/clearing-house/case-study/landscape-park-duisburg-nord-germany,urban,2025-09-14 11:24:10
"Complex of Three Parks Foreseen as A Site of the International Horticultural Exhibition 2024 - Łódź, Poland","The project aims to develop three parks in Łódź, Poland as a site for the International Horticultural Exhibition 2024. The goal is to serve as an urban green space allowing for urban revitalisation, shaping the urban landscape and using the potential of green spaces in cities. Actions include increasing the quantity and quality of green spaces, new plantings of trees, shrubs and flowers, creation of green walls and corridors, and creation of small ponds, water reservoirs and fountains.",in-progress,Łódź,Poland,city,"['urban green space', 'urban revitalisation', 'green walls', 'green corridors', 'small ponds', 'water reservoirs', 'fountains']","['urban revitalisation', 'urban landscape shaping', 'green space utilization']",[],[],"The City authorities are responsible for organising the exhibition and they support it. The event is also supported by regional authorities, such as the Marshal of the Łódź Region.",https://oppla.eu/clearing-house/case-study/complex-three-parks-foreseen-site-international-horticultural-exhibition-2024-lodz,urban,2025-09-14 11:24:10
Enhancing Brussels Ecological Network,"The project aims to reconnect green spaces, develop biodiversity, and enhance the quality of life in the city. It is led by the regional agency for the environment, working with public actors, associations, and citizens in five neighbourhoods. A diagnostic study will be carried out in each neighbourhood to define objectives and carry out innovative developments with an ecological vocation.",unknown,Brussels,Belgium,city,"['urban forests', 'green spaces', 'biodiversity development']","['urban biodiversity', 'quality of life']","['improved environment for pollination', 'climate regulation', 'enhanced ecological awareness']","['increased biodiversity', 'enhanced sustainable urbanisation', 'increased accessibility to green open spaces', 'increased social interaction', 'increased well-being']","Regional agency for the environment, public actors, associations, citizens, and municipalities including Municipality of Anderlecht, Municipality of Saint-Gilles, Municipalities of Auderghem, Municipality of Woluwe-Saint-Pierre, Municipality of Jette",https://oppla.eu/clearing-house/case-study/enhancing-brussels-ecological-network-belgium,urban,2025-09-14 11:24:10
Parkforest Ghent – Belgium,"The peri-urban forest is a new afforestation at the southern edge of the City of Ghent (Belgium). The project started in 1996 with a focus on afforestation, but later integrated Nature-Based Solutions for limiting flooding, enhancing biodiversity and reducing traffic noise pollution. The forest has been integrated into the green-blue climate axis network around the city to reduce the urban heat island effect.",ongoing,City of Ghent,Belgium,city,"['afforestation', 'urban forests', 'restoring brook systems']","['flooding', 'biodiversity', 'traffic noise pollution', 'urban heat island effect']",['well-being'],[],"The main actor is the Flemish Agency for Nature and Forests (ANB), in close collaboration with the Province of East Flanders, the City of Ghent, the Municipalities of De Pinte and Sint-Martens-Latem and the Flemish Land Agency (VLM).",https://oppla.eu/clearing-house/case-study/parkforest-ghent-belgium,urban,2025-09-14 11:24:10
Peri-Urban Forest Ostend – Belgium,"The peri-urban forest is a new afforestation in the coastal and harbour City of Ostend (Belgium). Planting started in 1996, with the aim to develop 120 ha of multifunctional forest. The forest is a buffer zone between the residential area, the industrial zoning, and the creek area which is of historical and ecological importance. The forest is part of a Green Ribbon network that surrounds the city core.",ongoing,City of Ostend,Belgium,city,"['urban forests', 'afforestation', 'green ribbon network']","['ecological connectivity', 'biodiversity']",[],[],"The forest is located on land owned by the City of Ostend and is managed by a cooperative business “Buitengoed”. Main partners in the cooperative are an insurance company, the public managing company of the industrial zone, a trade union, and a nature conservation organisation.",https://oppla.eu/clearing-house/case-study/peri-urban-forest-ostend-belgium,urban,2025-09-14 11:24:10
"Danube-Auen National Park - Vienna, Austria","The Danube-Auen National Park in Vienna aims to combine multiple ecosystem services with trees for regulating services such as water protection, retention, carbon sequestration, and climate regulation. The park provides habitats and biodiversity for animal and plant species, and offers open spaces for recreational value. The park also serves as an important drinking water reservoir for the City of Vienna.",unknown,Vienna,Austria,city,"['urban forests', 'nature-based solutions', 'green infrastructure']","['water protection', 'carbon sequestration', 'climate regulation']",['unknown'],['unknown'],"Nationalpark Donau-Auen GmbH, a non-profit organisation formed by the Austrian federation and the provinces of Vienna and Lower Austria",https://oppla.eu/clearing-house/case-study/danube-auen-national-park-vienna-austria,urban,2025-09-14 11:24:10
"L. Braille Public Garden – Bari, Italy","L. Braille Public Garden was an uncultivated urban green space owned by the Municipality of Bari and illegally used as a parking lot. The garden was planned and designed to increase biodiversity, mitigate the urban heat island effect, and reduce noise, air and light pollution. The park’s green infrastructure aims to achieve an economical and ‘smart’ waterflow regulation and runoff mitigation.",unknown,Bari,Italy,city,"['public garden', 'green infrastructure', 'waterflow regulation', 'runoff mitigation']","['urban heat island effect', 'noise pollution', 'air pollution', 'light pollution']",['mental and physical wellbeing'],[],Municipality of Bari; Parks and Gardens Division (of the Municipality),https://oppla.eu/clearing-house/case-study/l-braille-public-garden-bari-italy,urban,2025-09-14 11:24:10
Naturfelder Association,"The association aims to procure suitable land and spaces and convert them into flower meadows and insect habitats. The focus is on procuring the spaces, surveying them with experts, making individual concepts, securing financing for the conversion and ensuring it happens. The project is led by the South Westfalia University of Applied Sciences (SWUAS) in Soest (Agricultural Department).",unknown,Dortmund,Germany,city,"['flower meadows', 'insect habitats']",['biodiversity loss'],[],"['enhancing biodiversity by providing insect habitat and nourishment', 'expected increase in bird populations', 'visually more interesting and attractive green infrastructure for inhabitants']","South Westfalia University of Applied Sciences, aquaponik manufaktur GmbH, Die Urbanisten e.V.",https://oppla.eu/progireg/case-study/naturfelder-association,urban,2025-09-14 11:24:10
Mirafiori Sud Living Lab,"The project ProGIreg is aimed at urban regeneration in the district of Mirafiori Sud, Turin, through nature-based solutions. Local authorities have identified the need for additional arable soil for new green spaces and plan to use regenerated soil in public green spaces throughout the city. The project also includes the creation of community urban gardens, social farming activities, aquaponics systems, green roofs and walls, and a green cycling path.",ongoing,"Mirafiori Sud, Turin",Italy,city,"['urban regeneration', 'green spaces', 'community urban gardens', 'social farming', 'aquaponics systems', 'green roofs and walls', 'green cycling path']","['urban regeneration', 'climate change', 'biodiversity']","['improved living conditions', 'healthier diets']","['improved living conditions', 'reduced vulnerability to climate change', 'measurable economic benefits', 'increased biodiversity']","Local citizens, governments, businesses, NGOs and universities",https://oppla.eu/progireg/case-study/mirafiori-sud-living-lab,urban,2025-09-14 11:24:10
Lisbon: Masterplan Vale de Alcantara: A Green Corridor,"The project aims to enhance sustainable urbanization, restore ecosystems and their functions, and develop climate change mitigation and adaptation in Lisbon. It involves creating green corridors, planting street trees, and promoting urban agriculture. The project is part of the city's strategy to enhance its tourism potential and attractiveness, and to tackle challenges such as the 'heat island effect', floods, air pollution, and unequal distribution of green spaces.",unknown,Lisbon,Portugal,city,"['green corridors', 'street trees', 'urban agriculture']","['heat island effect', 'floods', 'air pollution', 'unequal distribution of green spaces']","['improved air quality', 'healthy lifestyle']","['better environment', 'better quality of life', 'regenerated spaces']",Lisbon city administration,https://oppla.eu/enroute/case-study/lisbon-masterplan-vale-de-alcantara-green-corridor,urban,2025-09-14 11:24:10
Transition Planning - Parco Agricolo,"The goal of the transversal planning of the Parco Agricolo is to transition the area towards a coherent and inclusive development. The project was led by the Municipio Roma XIV, supported by BIC Lazio and OSMOS Transversal Planning, and involved a large number of stakeholders. The project aims to include the urbanistic, landscape, economic and agricultural dimensions in the transition of the Parco Agricolo.",unknown,Parco Agricolo,unknown,unknown,[],[],[],[],The lead of the project was the Municipio Roma XIV. The team of the municipality was supported by BIC Lazio and OSMOS Transversal Planning.,https://oppla.eu/turas/case-study/transition-planning-parco-agricolo,unknown,2025-09-14 11:24:10
Studio Cureghem - Brussels,"The project aims to convert underused real estate assets into local economic hubs, creating an 'ecology of temporary uses' and fostering co-dependence between actors. The Studio Cureghem is a large industrial site that will remain empty during a transition period, and the project involves co-developing temporary uses at the scale of the building. The project also addresses the regional circular economy plan and future land use mixes.",unknown,Studio Cureghem,Belgium,site,['temporary use of underused real estate assets'],"['underused real estate assets', 'future land use mixes']",[],[],"OSMOS facilitated the process which was supported by a wide number of local organisations. The most active stakeholder is the building owner (the regional developer citydev.brussels), and the local community plays a significant role too.",https://oppla.eu/turas/case-study/studio-cureghem-brussels,urban,2025-09-14 11:24:10
Regenerating Crown Barracks - Brussels,The project aims to co-create the adaptive re-use of former military barracks based on principles of circular economy. It involves bringing together university stakeholders to develop a common vision for the site. The process was facilitated by OSMOS and the leading stakeholder was the Brussels University Alliance.,unknown,"Crown Barracks, Brussels",Belgium,site,"['adaptive re-use', 'circular economy']","['accessibility', 'complex land ownership', 'stakeholder engagement']",[],"['comprehensive vision document', 'increased project value', 'focus on social sustainability']","Brussels University Alliance, OSMOS Transversal Planning, Brussels Environment Agency (IBGE)",https://oppla.eu/turas/case-study/regenerating-crown-barracks-brussels,urban,2025-09-14 11:24:10
Participatory Reconversion Workshop,"The project aims to develop a vision for Manziana's former Sulphur mine (the Solfatara), located on the fringe of the town and the edge of an ancient forest. The project involves co-production with community support and a wide range of local and regional stakeholders. The long-term vision for the Solfatara is to address all dimensions of sustainability by generating income from the site, creating a space for community events and creating a greater educational value of the forest.",unknown,Manziana,unknown,unknown,[],[],[],[],"TURAS, Universität Stuttgart (UoS), BicLazio - Bic Lazio Spa, CTAC Tuscia Romana, Italian National Agency for New Technologies Energy and Sustainable Economic Development (ENEA), OSMOS Transversal Planning, Università Agraria Manziana, Università degli Studi della Tuscia",https://oppla.eu/turas/case-study/participatory-reconversion-workshop,unknown,2025-09-14 11:24:10
Operation Phosphore - Brussels,"Operation Phosphore is a project aimed at reforming organic waste management in Brussels. The project involves a network of civil society actors, academic partners, and local/regional administrations working together to manage organic waste more coherently and ecologically. The project also explores the potential production of energy from biowaste.",unknown,Brussels,unknown,unknown,"['organic waste management', 'energy production from biowaste']",['waste management'],[],[],"Urban Ecology Centre Brussels, Worms asbl, academic partners, regional administrations in charge of waste and environmental management",https://oppla.eu/turas/case-study/operation-phosphore-brussels,urban,2025-09-14 11:24:10
Malaga Strategy Workshops,The project aims to address the transition of Málaga´s economic model through several workshops. The workshops resulted in the elaboration of a Regional Action Plan that organized the next steps towards a new regional development model. The workshops led to change the governance setup of how strategic decisions regarding regional economy are taken.,unknown,Málaga,Spain,city,[],"['economic development', 'regional planning']",[],['changes in the governance structure of the planning process'],"PROMÁLAGA, Fundación CIEDES, OSMOS, Brussels Environment, Municipality of Málaga, University of Málaga",https://oppla.eu/turas/case-study/malaga-strategy-workshops,urban,2025-09-14 11:24:10
Greenroof Experiment - Barking Riverside,The project aims to assess the impact on ecosystem service provision of moving from industry standard green roof designs to designing roofs for locally important biodiversity. The project involves researching and experimenting locally contextualised green roofs designs and implementing two design experiments on-site at Barking Riverside development. The results of the experimental work were integrated into the future site master planning.,unknown,Barking Riverside,unknown,site,"['green infrastructure', 'nature-based solutions', 'habitat creation']","['climate change adaptation', 'urban resilience']",[],"['better green infrastructure designs', 'positive contribution to climate change adaptation and urban resilience']","University of East London (UEL) took the lead on the project with support from the project's main partners, Barking Riverside Ltd, the London Borough of Barking and Dagenham, the Green Roof Consultancy, the Environment Agency, ABG Ltd and Hertalan Ltd.",https://oppla.eu/turas/case-study/greenroof-experiment-barking-riverside,urban,2025-09-14 11:24:10
Green Living Room - Ludwigsburg,The project aims to create an innovative multifunctional green urban space which fosters climate change adaptation measures that contribute to enhancing urban climate comfort on heavily sealed surfaces. The city of Ludwigsburg promotes the project as a good example for climate change adaptation that can contribute to some extent to enhance local climate by reducing urban heat island effect.,unknown,Ludwigsburg,Germany,city,"['green urban space', 'climate change adaptation']",['urban heat island effect'],[],"['enhance local climate', 'reducing urban heat island effect']","TURAS, Helix Pflanzen, University of Stuttgart (UoS), VRS - Verband Region Stuttgart, ILPOE (Institute for Landscape Planning & Ecology), Ludwigsburg City Administration and City Council, Architects Ludwig.Schönle",https://oppla.eu/turas/case-study/green-living-room-ludwigsburg,urban,2025-09-14 11:24:10
Discovering Community Resources - Dublin,"Activating community based projects in a deprived neighbourhood, Mountjoy Square. The project is researching and observing active projects that were initiated by communities. It currently organises the acquired data into useful resources, which includes validating 'ComPass' as a tool with communities and practitioners.",unknown,Mountjoy Square,Ireland,neighborhood,[],[],[],"['knowledge sharing', 'increase in social capital']","Dublin City Council, University College Dublin (UCD), local authorities, different community groups, Code for Ireland and local small and medium enterprises (SME's)",https://oppla.eu/turas/case-study/discovering-community-resources-dublin,urban,2025-09-14 11:24:10
Custom-build - Trent Basin,"The project aims to create a sustainable new community by involving the community in the design process of their homes. It will transform a derelict industrial area into a sustainable new community with a mix of contemporary, high quality, and low energy houses. The project also aims to reduce housing costs by cutting the developer's costs while maintaining the high quality customised houses.",in-progress,Trent Basin,unknown,city,"['sustainable community design', 'housing customization']","['housing costs', 'community identity']",[],"['creation of 350 housing units', 'commencement of construction for 45 housing units', 'creation of future development phases plans']","University of Nottingham, Igloo Regeneration Ltd, URBED, Marsh: Grochowski",https://oppla.eu/turas/case-study/custom-build-trent-basin,urban,2025-09-14 11:24:10
Creekmouth Heritage Trail,"The project aims to safeguard the historic and local heritage of Creekmouth through a collaborative project that brings the community together. It was realized through the installation of public arts, development of a new website for the Creekmouth Preservation Society, implementation of a training archive for local residents, and a schools program based on the history and heritage of Creekmouth.",unknown,Creekmouth,unknown,unknown,[],[],[],[],"London Borough of Barking and Dagenham (LBBD) and Barker Langham Consultants were the main facilitators. Other participants included Barking Riverside Ltd., Heritage Lottery Fund, Creekmouth Preservation Society, Barking Riverside Residents Association, the Environmental Agency and the local community and schools.",https://oppla.eu/turas/case-study/creekmouth-heritage-trail,urban,2025-09-14 11:24:10
Connect the Dots - Observation for Colab,"The project aimed to exchange knowledge between people who are experienced in using vacant or underused spaces in the city, and those who are not. It also aimed to collect data about groups who are interested in using vacant spaces. The project launched 'Reusing Dublin', an online space to discover and share information about vacant or underused spaces in Dublin.",unknown,Dublin,unknown,city,['reusing vacant spaces'],['scarcity of spaces in the city'],[],"['building and strengthening of networks between groups who are engaged in the re-use of vacant spaces', 'raised awareness for the barriers to further action']","Local Task Force Connect the Dots were the lead team in the project. Local authorities, the Office of Public Works and different agencies working with communities were part of the local task force.",https://oppla.eu/turas/case-study/connect-dots-observation-colab,urban,2025-09-14 11:24:10
Community Involvement - Sofia,"The project aims to encourage public participation during the planning process of urban projects in Sofia to avoid potential misunderstandings and gain public support. It promotes the quality improvement of plans and programs and the creation of strong professional relationships between the administration and public organizations. The Sofia Ombudsman and the municipal administration facilitated the process, with NGO representatives and city councillors participating.",unknown,Sofia,unknown,city,[],"['public participation in urban planning', 'improvement of plans and programs', 'creation of professional relationships']",[],"['creation of a common document integrating different visions', 'improvement of planning and implementation processes', 'involvement of more participants from the non-governmental sector in municipal expert councils']",Sofia Ombudsman and Sofia municipal administration,https://oppla.eu/turas/case-study/community-involvement-sofia,urban,2025-09-14 11:24:10
Collaborative Planning - Nottingham,"The project aims to create a liveable and resilient community in the Trent Basin site, Nottingham. It brings together technical expertise from various stakeholders for energy efficient planning. The project is still ongoing and is geared towards attaining affordable and energy efficient homes within resilient communities.",ongoing,Trent Basin,unknown,unknown,[],"['high land prices', 'regeneration of the area']",[],['creation of a smart community energy scheme with 350 homes'],"University of Nottingham, IRL - Igloo Regeneration Ltd, URBED (Urbanism Environment and Design), Marsh: Grochowski (Architects)",https://oppla.eu/turas/case-study/collaborative-planning-nottingham,urban,2025-09-14 11:24:10
Climate Change Stresstest - Schiedam,"The project involved a 'stress test' or quick scan to raise community awareness of potential threats and opportunities caused by climate change in the Rotterdam region. The City Region of Rotterdam and the city of Schiedam facilitated the project, with the support of various experts. The project aimed to help small-scale cities decide on the urgency and usefulness of designing and executing a climate adaptation strategy.",unknown,Schiedam,unknown,city,[],['climate change'],[],[],"The City Region of Rotterdam and the city of Schiedam, with the support of various experts",https://oppla.eu/turas/case-study/climate-change-stresstest-schiedam,urban,2025-09-14 11:24:10
Barking Riverside Ecomimicry,"The project aims to inform Barking Riverside's green space design by incorporating regional biodiversity. The University of East London is leading the project, with the goal of supporting the design of Multifunctional Green Infrastructure in the Barking Riverside development project to ensure the protection and conservation of nationally important biodiversity.",unknown,Barking Riverside,England,site,"['green infrastructure', 'biodiversity conservation']","['climate change adaptation', 'urban resilience']",[],"['improved green infrastructure design', 'increased urban resilience']","University of East London, London Borough of Barking & Dagenham, Barking Riverside Ltd., DF Clarke, Natural England, Green Roof Consultancy",https://oppla.eu/turas/case-study/barking-riverside-ecomimicry,urban,2025-09-14 11:24:10
